time,batch_id,running_count,waiting_count,swapped_count,gpu_memory_used,memory_utilization,batch_duration,completed_count
90.9010,67,2,4,0,402,0.8040,1.4020,4
92.3030,68,2,4,0,404,0.8080,1.4040,4
93.7070,69,2,4,0,406,0.8120,1.4060,4
95.1130,70,2,4,0,408,0.8160,1.4080,4
96.5210,71,2,4,0,410,0.8200,1.4100,4
97.9310,72,2,4,0,412,0.8240,1.4120,4
99.3430,73,2,4,0,414,0.8280,1.4140,4
100.7570,74,2,4,0,416,0.8320,1.4160,4
102.1730,75,2,4,0,418,0.8360,1.4180,4
103.5910,76,2,4,0,420,0.8400,1.4200,4
105.0110,77,2,4,0,422,0.8440,1.4220,4
106.4330,78,2,4,0,424,0.8480,1.4240,4
107.8570,79,2,4,0,426,0.8520,1.4260,4
109.2830,80,2,4,0,428,0.8560,1.4280,4
110.7110,81,2,4,0,430,0.8600,1.4300,4
112.1410,82,2,4,0,432,0.8640,1.4320,4
113.5730,83,2,4,0,434,0.8680,1.4340,4
115.0070,84,2,4,0,436,0.8720,1.4360,4
116.4430,85,2,4,0,438,0.8760,1.4380,4
117.8810,86,2,4,0,440,0.8800,1.4400,4
119.3210,87,2,4,0,442,0.8840,1.4420,4
120.7630,88,2,4,0,444,0.8880,1.4440,4
122.2070,89,2,4,0,446,0.8920,1.4460,4
123.6530,90,2,3,0,438,0.8760,1.4380,5
125.0910,91,2,3,0,440,0.8800,1.4400,5
126.5310,92,2,2,0,432,0.8640,1.4320,6
127.9630,93,2,2,0,434,0.8680,1.4340,6
129.3970,94,2,2,0,436,0.8720,1.4360,6
130.8330,95,2,2,0,438,0.8760,1.4380,6
132.2710,96,2,2,0,440,0.8800,1.4400,6
133.7110,97,2,2,0,442,0.8840,1.4420,6
135.1530,98,2,2,0,444,0.8880,1.4440,6
136.5970,99,2,2,0,446,0.8920,1.4460,6
138.0430,100,2,2,0,448,0.8960,1.4480,6
139.4910,101,2,2,0,450,0.9000,1.4500,6
140.9410,102,2,2,0,452,0.9040,1.4520,6
142.3930,103,2,2,0,454,0.9080,1.4540,6
143.8470,104,2,2,0,456,0.9120,1.4560,6
145.3030,105,2,2,0,458,0.9160,1.4580,6
146.7610,106,2,2,0,460,0.9200,1.4600,6
148.2210,107,2,2,0,462,0.9240,1.4620,6
149.6830,108,2,2,0,464,0.9280,1.4640,6
151.1470,109,2,2,0,466,0.9320,1.4660,6
152.6130,110,2,2,0,468,0.9360,1.4680,6
154.0810,111,2,2,0,470,0.9400,1.4700,6
155.5510,112,2,2,0,472,0.9440,1.4720,6
157.0230,113,2,2,0,474,0.9480,1.4740,6
158.4970,114,2,2,0,476,0.9520,1.4760,6
159.9730,115,2,2,0,478,0.9560,1.4780,6
161.4510,116,2,2,0,480,0.9600,1.4800,6
162.9310,117,2,2,0,482,0.9640,1.4820,6
164.4130,118,2,2,0,484,0.9680,1.4840,6
165.8970,119,2,2,0,486,0.9720,1.4860,6
167.3830,120,1,2,0,248,0.4960,1.2480,7
168.6310,121,1,2,0,249,0.4980,1.2490,7
169.8800,122,2,0,0,470,0.9400,1.4700,8
171.3500,123,2,0,0,472,0.9440,1.4720,8
172.8220,124,2,0,0,474,0.9480,1.4740,8
174.2960,125,2,0,0,476,0.9520,1.4760,8
175.7720,126,2,0,0,478,0.9560,1.4780,8
177.2500,127,2,0,0,480,0.9600,1.4800,8
178.7300,128,2,0,0,482,0.9640,1.4820,8
180.2120,129,2,0,0,484,0.9680,1.4840,8
181.6960,130,2,0,0,486,0.9720,1.4860,8
183.1820,131,2,0,0,488,0.9760,1.4880,8
184.6700,132,2,0,0,490,0.9800,1.4900,8
186.1600,133,2,0,0,492,0.9840,1.4920,8
187.6520,134,2,0,0,494,0.9880,1.4940,8
189.1460,135,2,0,0,496,0.9920,1.4960,8
190.6420,136,2,0,0,498,0.9960,1.4980,8
192.1400,137,2,0,0,500,1.0000,1.5000,8
193.6400,138,1,0,1,256,0.5120,1.2560,8
194.8960,139,1,0,1,257,0.5140,1.2570,8
196.1530,140,1,0,1,258,0.5160,1.2580,8
197.4110,141,1,0,1,259,0.5180,1.2590,8
198.6700,142,1,0,1,260,0.5200,1.2600,8
199.9300,143,1,0,1,261,0.5220,1.2610,8
201.1910,144,1,0,1,262,0.5240,1.2620,8
202.4530,145,1,0,1,263,0.5260,1.2630,8
203.7160,146,1,0,1,264,0.5280,1.2640,8
204.9800,147,1,0,1,265,0.5300,1.2650,8
206.2450,148,1,0,1,266,0.5320,1.2660,8
207.5110,149,1,0,1,267,0.5340,1.2670,8
208.7780,150,1,0,1,268,0.5360,1.2680,8
210.0460,151,1,0,1,269,0.5380,1.2690,8
211.3150,152,1,0,0,246,0.4920,1.2460,9
212.5610,153,1,0,0,247,0.4940,1.2470,9
213.8080,154,1,0,0,248,0.4960,1.2480,9
215.0560,155,1,0,0,249,0.4980,1.2490,9
216.3050,156,1,0,0,250,0.5000,1.2500,9
217.5550,157,1,0,0,251,0.5020,1.2510,9
218.8060,158,1,0,0,252,0.5040,1.2520,9
220.0580,159,1,0,0,253,0.5060,1.2530,9
221.3110,160,1,0,0,254,0.5080,1.2540,9
222.5650,161,1,0,0,255,0.5100,1.2550,9
223.8200,162,1,0,0,256,0.5120,1.2560,9
225.0760,163,1,0,0,257,0.5140,1.2570,9
226.3330,164,1,0,0,258,0.5160,1.2580,9
227.5910,165,1,0,0,259,0.5180,1.2590,9
