time,batch_id,queue_type,req_ids
177.2500,127,running,"[8, 9]"
178.7300,128,running,"[8, 9]"
180.2120,129,running,"[8, 9]"
181.6960,130,running,"[8, 9]"
183.1820,131,running,"[8, 9]"
184.6700,132,running,"[8, 9]"
186.1600,133,running,"[8, 9]"
187.6520,134,running,"[8, 9]"
189.1460,135,running,"[8, 9]"
190.6420,136,running,"[8, 9]"
192.1400,137,running,"[8, 9]"
193.6400,138,running,[9]
193.6400,138,swapped,[8]
194.8960,139,running,[9]
194.8960,139,swapped,[8]
196.1530,140,running,[9]
196.1530,140,swapped,[8]
197.4110,141,running,[9]
197.4110,141,swapped,[8]
198.6700,142,running,[9]
198.6700,142,swapped,[8]
199.9300,143,running,[9]
199.9300,143,swapped,[8]
201.1910,144,running,[9]
201.1910,144,swapped,[8]
202.4530,145,running,[9]
202.4530,145,swapped,[8]
203.7160,146,running,[9]
203.7160,146,swapped,[8]
204.9800,147,running,[9]
204.9800,147,swapped,[8]
206.2450,148,running,[9]
206.2450,148,swapped,[8]
207.5110,149,running,[9]
207.5110,149,swapped,[8]
208.7780,150,running,[9]
208.7780,150,swapped,[8]
210.0460,151,running,[9]
210.0460,151,swapped,[8]
211.3150,152,running,[8]
212.5610,153,running,[8]
213.8080,154,running,[8]
215.0560,155,running,[8]
216.3050,156,running,[8]
217.5550,157,running,[8]
218.8060,158,running,[8]
220.0580,159,running,[8]
221.3110,160,running,[8]
222.5650,161,running,[8]
223.8200,162,running,[8]
225.0760,163,running,[8]
226.3330,164,running,[8]
227.5910,165,running,[8]
