req_id,arrival_time,prefill_length,decode_length,completion_time,total_delay,waiting_time,execution_time,swap_count,total_swapped_time,sacrifice_count
252,48.0793,20,20,52.6994,4.6201,0.4917,4.1285,0,0.0000,0
253,48.1540,20,20,52.6994,4.5454,0.4170,4.1285,0,0.0000,0
254,48.1904,20,20,52.6994,4.5090,0.3806,4.1285,0,0.0000,0
255,48.3500,20,20,52.8612,4.5112,0.4985,4.0126,0,0.0000,0
256,48.8894,20,20,53.1872,4.2978,0.4746,3.8232,0,0.0000,0
257,49.1229,20,20,53.3514,4.2285,0.4649,3.7637,0,0.0000,0
258,49.2885,20,20,53.3514,4.0629,0.2993,3.7637,0,0.0000,0
259,49.3085,20,20,53.3514,4.0429,0.2793,3.7637,0,0.0000,0
260,49.4957,20,20,53.4815,3.9858,0.3037,3.6821,0,0.0000,0
261,50.3997,20,20,54.0304,3.6307,0.1970,3.4338,0,0.0000,0
262,50.4293,20,20,54.1758,3.7465,0.3729,3.3736,0,0.0000,0
263,50.5725,20,20,54.1758,3.6033,0.2297,3.3736,0,0.0000,0
264,50.9840,20,20,54.4407,3.4567,0.1964,3.2603,0,0.0000,0
265,51.2487,20,20,54.7162,3.4675,0.2948,3.1726,0,0.0000,0
266,51.4829,20,20,54.8507,3.3678,0.2444,3.1234,0,0.0000,0
267,51.7206,20,20,54.9762,3.2556,0.2030,3.0526,0,0.0000,0
268,51.8079,20,20,55.0992,3.2913,0.3117,2.9797,0,0.0000,0
269,51.8761,20,20,55.0992,3.2231,0.2435,2.9797,0,0.0000,0
270,52.2010,20,20,55.3036,3.1026,0.3034,2.7992,0,0.0000,0
271,52.5268,20,20,55.5148,2.9880,0.3344,2.6536,0,0.0000,0
272,52.9225,20,20,55.7473,2.8248,0.2647,2.5602,0,0.0000,0
273,53.4018,20,20,56.1474,2.7456,0.2008,2.5448,0,0.0000,0
274,53.5422,20,20,56.2902,2.7480,0.1920,2.5560,0,0.0000,0
275,53.6787,20,20,56.4449,2.7662,0.1980,2.5682,0,0.0000,0
276,53.9926,20,20,56.7507,2.7581,0.1832,2.5749,0,0.0000,0
277,54.1985,20,20,57.0924,2.8939,0.2422,2.6517,0,0.0000,0
278,54.4358,20,20,57.2624,2.8266,0.1372,2.6894,0,0.0000,0
279,54.7473,20,20,57.8570,3.1097,0.2289,2.8808,0,0.0000,0
280,55.1801,20,20,58.5508,3.3707,0.1235,3.2472,0,0.0000,0
281,55.2610,20,20,58.7913,3.5303,0.1432,3.3870,0,0.0000,0
282,55.3533,20,20,59.0263,3.6730,0.1615,3.5115,0,0.0000,0
283,55.3727,20,20,59.0263,3.6536,0.1421,3.5115,0,0.0000,0
284,55.5420,20,20,59.4924,3.9504,0.2053,3.7451,0,0.0000,0
285,55.5492,20,20,59.4924,3.9432,0.1981,3.7451,0,0.0000,0
286,55.6720,20,20,59.7239,4.0519,0.1977,3.8542,0,0.0000,0
287,55.8254,20,20,59.9765,4.1511,0.1775,3.9736,0,0.0000,0
288,55.8916,20,20,60.2243,4.3327,0.2558,4.0770,0,0.0000,0
289,56.0668,20,20,60.4670,4.4002,0.2234,4.1768,0,0.0000,0
290,56.0729,20,20,60.4670,4.3941,0.2173,4.1768,0,0.0000,0
291,56.0804,20,20,60.4670,4.3866,0.2098,4.1768,0,0.0000,0
292,56.4195,20,20,60.9162,4.4967,0.1724,4.3243,0,0.0000,0
293,56.5070,20,20,61.1486,4.6416,0.2437,4.3979,0,0.0000,0
294,56.5337,20,20,61.1486,4.6149,0.2170,4.3979,0,0.0000,0
295,56.6785,20,20,61.3891,4.7106,0.2368,4.4738,0,0.0000,0
296,56.9667,20,20,61.8879,4.9212,0.2957,4.6254,0,0.0000,0
297,57.0144,20,20,61.8879,4.8735,0.2480,4.6254,0,0.0000,0
298,57.2056,20,20,62.1402,4.9346,0.2330,4.7016,0,0.0000,0
299,57.2231,20,20,62.1402,4.9171,0.2155,4.7016,0,0.0000,0
300,57.2335,20,20,62.1402,4.9067,0.2051,4.7016,0,0.0000,0
301,57.3821,20,20,62.3614,4.9793,0.2588,4.7205,0,0.0000,0
302,57.5346,20,20,62.5769,5.0423,0.3224,4.7198,0,0.0000,0
303,57.7335,20,20,62.7930,5.0595,0.3406,4.7189,0,0.0000,0
304,57.9875,20,20,63.0098,5.0223,0.3178,4.7045,0,0.0000,0
305,58.7176,20,20,63.7311,5.0135,0.3087,4.7048,0,0.0000,0
306,58.8600,20,20,64.0192,5.1592,0.3891,4.7701,0,0.0000,0
307,58.9364,20,20,64.0192,5.0828,0.3127,4.7701,0,0.0000,0
308,59.2474,20,20,64.2907,5.0433,0.2450,4.7982,0,0.0000,0
