time,req_id,current_decode_position,memory_freed,running_count_same_position,total_running_count
1857.9210,9590,0,20,69,339
1857.9210,9591,0,20,68,338
1857.9210,9592,0,20,67,337
1857.9210,9593,0,20,66,336
1857.9210,9594,0,20,65,335
1857.9210,9586,0,20,73,343
1857.9210,9587,0,20,72,342
1861.1196,9586,0,20,23,338
1861.1196,9587,0,20,22,337
1864.3168,9586,0,20,24,343
1864.3168,9587,0,20,23,342
1864.3168,9703,0,20,22,341
1864.3168,9704,0,20,21,340
1864.3168,9705,0,20,20,339
1864.3168,9706,0,20,19,338
1864.3168,9707,0,20,18,337
1867.5128,9586,0,20,27,345
1867.5128,9587,0,20,26,344
1867.5128,9703,0,20,25,343
1867.5128,9704,0,20,24,342
1867.5128,9705,0,20,23,341
1867.5128,9706,0,20,22,340
1867.5128,9707,0,20,21,339
1867.5128,9725,0,20,20,338
1870.7078,9586,0,20,23,349
1870.7078,9587,0,20,22,348
1870.7078,9703,0,20,21,347
1870.7078,9704,0,20,20,346
1870.7078,9705,0,20,19,345
1870.7078,9706,0,20,18,344
1870.7078,9707,0,20,17,343
1870.7078,9725,0,20,16,342
1870.7078,9745,0,20,15,341
1870.7078,9746,0,20,14,340
1870.7078,9747,0,20,13,339
1870.7078,9748,0,20,12,338
1870.7078,9749,0,20,11,337
1870.7078,9750,0,20,10,336
1870.7078,9751,0,20,9,335
1870.7078,9752,0,20,8,334
1870.7078,9753,0,20,7,333
1870.7078,9754,0,20,6,332
1917.9780,9906,0,20,85,323
1917.9780,9907,0,20,84,322
1917.9780,9908,0,20,83,321
1917.9780,9909,0,20,82,320
1917.9780,9910,0,20,81,319
1917.9780,9911,0,20,80,318
1917.9780,9912,0,20,79,317
1917.9780,9913,0,20,78,316
1917.9780,9914,0,20,77,315
1917.9780,9915,0,20,76,314
1917.9780,9916,0,20,75,313
1917.9780,9917,0,20,74,312
1917.9780,9918,0,20,73,311
1917.9780,9919,0,20,72,310
1917.9780,9920,0,20,71,309
1917.9780,9921,0,20,70,308
1917.9780,9922,0,20,69,307
1963.8631,10221,0,20,7,322
1963.8631,10222,0,20,6,321
1963.8631,10223,0,20,5,320
1963.8631,10224,0,20,4,319
1963.8631,10225,0,20,3,318
1963.8631,10226,0,20,2,317
1963.8631,10227,0,20,1,316
1963.8631,10207,1,21,14,315
1963.8631,10208,1,21,13,314
1963.8631,10209,1,21,12,313
1963.8631,10210,1,21,11,312
1963.8631,10211,1,21,10,311
1963.8631,10212,1,21,9,310
1963.8631,10213,1,21,8,309
1963.8631,10214,1,21,7,308
1963.8631,10215,1,21,6,307
5767.1710,29457,0,20,22,335
5767.1710,29458,0,20,21,334
5767.1710,29459,0,20,20,333
5767.1710,29460,0,20,19,332
5767.1710,29461,0,20,18,331
5767.1710,29462,0,20,17,330
5767.1710,29463,0,20,16,329
5767.1710,29464,0,20,15,328
5767.1710,29465,0,20,14,327
5770.3660,29482,0,20,13,327
5770.3660,29483,0,20,12,326
5770.3660,29484,0,20,11,325
5770.3660,29485,0,20,10,324
